,0
0,1445
1,1541
2,1551
3,1612
4,1615
5,1607
6,1565
7,1667
8,1604
9,1593
10,10001256
11,1621
12,1587
13,1705
14,1619
15,1569
16,1654
17,1576
18,1497
19,1521
20,1464
21,1611
22,1516
23,1492
24,1638
25,1667
26,1690
27,1513
28,1638
29,1695
30,1460
31,1602
32,1546
33,1523
34,1674
35,1610
36,1603
37,1623
38,10001286
39,10001368
40,1466
41,1530
42,1494
43,1599
44,1537
45,1450
46,1647
47,1610
48,1562
49,1575
50,1623
51,1615
52,1500
53,1682
54,1465
55,1616
56,1633
57,1607
58,1631
59,1488
60,1678
61,10001278
62,1476
63,1696
64,1640
65,1603
66,1628
67,1629
68,1632
69,1600
70,1635
71,10001322
72,1628
73,1628
74,1592
75,1561
76,1521
77,1569
78,1534
79,1672
80,1559
81,1573
82,1730
83,1592
84,1590
85,1510
86,1455
87,1593
88,1640
89,1655
90,1643
91,1562
92,1676
93,1590
94,1623
95,1672
96,1645
97,1526
98,1553
99,1585
100,10001377
101,1562
102,1517
103,1576
104,1608
105,1501
106,1671
107,1665
108,1616
109,1609
110,1627
111,10001305
112,1547
113,1608
114,1613
115,1487
116,1584
117,1617
118,10001313
119,1624
120,1647
121,1521
122,1563
123,1515
124,1593
125,1490
126,1534
127,1492
128,1585
129,1536
130,10001322
131,1625
132,1490
133,1482
134,1444
135,10001356
136,1632
137,1454
138,1624
139,1582
140,1410
141,1623
142,1508
143,10001322
144,1710
145,1677
146,1597
147,1580
148,1694
149,1650
150,1494
151,10001331
152,1533
153,1578
154,1710
155,1600
156,1542
157,1608
158,1439
159,1587
160,1624
161,1648
162,1508
163,10001353
164,1352
165,1559
166,1562
167,1641
168,1544
169,1456
170,1621
171,1591
172,1618
173,1677
174,1707
175,10001330
176,1583
177,1610
178,1573
179,1667
180,10001235
181,1552
182,1603
183,1463
184,1722
185,1550
186,1522
187,1455
188,1701
189,1575
190,1639
191,1622
192,1664
193,1596
194,10001239
195,1573
196,1604
197,1511
198,1562
199,10001370
200,1477
201,1598
202,1480
203,1606
204,1568
205,10001319
206,1490
207,1529
208,1643
209,1605
210,1584
211,1601
212,1523
213,1632
214,1695
215,1423
216,1566
217,1681
218,1685
219,1627
220,1558
221,1446
222,1716
223,1536
224,1592
225,10001341
226,1619
227,1597
228,1517
229,1485
230,1506
231,1527
232,1491
233,10001312
234,1622
235,1689
236,1574
237,1568
238,1600
239,10001358
240,10001304
241,10001258
242,1528
243,1603
244,1552
245,10001297
246,1588
247,1306
248,1629
249,1389
250,10001250
251,1678
252,1569
253,1508
254,10001283
255,1667
256,1651
257,1647
258,1591
259,1553
260,1409
261,1580
262,1585
263,1634
264,1551
265,1425
266,1632
267,1621
268,10001345
269,1618
270,1622
271,1672
272,1585
273,1620
274,1621
275,1575
276,1570
277,1619
278,1635
279,1565
280,1494
281,1504
282,1619
283,10001297
284,10001347
285,10001284
286,1612
287,1599
288,1619
289,1658
290,1697
291,1603
292,10001427
293,1679
294,1697
295,1632
296,1599
297,1470
298,1623
299,1739
300,1482
301,10001286
302,1656
303,10001379
304,1662
305,1610
306,1614
307,1597
308,1560
309,1800
310,1545
311,1661
312,1503
313,1570
314,1592
315,1631
316,1614
317,1617
318,1623
319,10001327
320,1561
321,10001320
322,1618
323,1613
324,1474
325,1602
326,1594
327,1574
328,1483
329,1583
330,1482
331,1495
332,1577
333,1588
334,10001287
335,1556
336,1610
337,1420
338,1450
339,10001295
340,1528
341,1634
342,1651
343,1604
344,1525
345,1429
346,1795
347,1650
348,1483
349,1660
350,1727
351,1616
352,1643
353,1501
354,1597
355,1555
356,1606
357,1578
358,1598
359,1510
360,1508
361,1595
362,1611
363,1564
364,1500
365,1565
366,1647
367,1504
368,1551
369,1594
370,1680
371,1665
372,10001313
373,1610
374,1624
375,10001289
376,1538
377,1666
378,1597
379,1641
380,1497
381,10001262
382,1543
383,1605
384,1547
385,1571
386,1696
387,1634
388,1651
389,1617
390,1575
391,1615
392,1480
393,1563
394,1567
395,1616
396,10001390
397,1579
398,1560
399,1526
400,1645
401,1732
402,1573
403,1470
404,1678
405,1654
406,1451
407,1513
408,10001257
409,1699
410,1424
411,1548
412,1585
413,1426
414,10001258
415,1650
416,1573
417,1560
418,1569
419,1623
420,10001229
421,1648
422,1599
423,1688
424,1647
425,1563
426,1606
427,1633
428,1599
429,1701
430,1553
431,1508
432,1621
433,1660
434,1630
435,1606
436,1583
437,1608
438,1536
439,1697
440,1565
441,1402
442,1490
443,1603
444,1549
445,1543
446,1610
447,1562
448,1623
449,1556
450,1617
451,1537
452,1598
453,1567
454,1665
455,1566
456,1534
457,1510
458,1601
459,1637
460,1564
461,1422
462,1650
463,10001271
464,1478
465,1606
466,1603
467,1574
468,1609
469,1688
470,1540
471,1618
472,10001314
473,10001339
474,1556
475,10001290
476,10001358
477,1574
478,10001327
479,10001276
480,1509
481,1533
482,1472
483,1576
484,1433
485,1623
486,10001296
487,1472
488,1434
489,1478
490,10001304
491,1643
492,1599
493,1725
494,1611
495,1675
496,1700
497,1619
498,1584
499,10001281
500,10001311
501,1589
502,1603
503,1701
504,1558
505,1626
506,1630
507,1593
508,1525
509,1704
510,1618
511,1568
512,10001340
